Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Device_Type_Category,Screen_Time_Category,weekday_flag,Usage_Balance_Category,Health_Risk_Level,Educational_Time_hr,Recreational_Time_hr,Educational_Time_Actual,Recreational_Time_Actual
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.7571428571428576,4.392857142857142,1 hr 45 min,4 hr 24 min
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.936268656716418,2.753731343283582,0 hr 56 min,2 hr 45 min
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,High Risk,2.134965034965035,4.965034965034965,2 hr 8 min,4 hr 58 min
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.2637837837837838,4.716216216216217,2 hr 16 min,4 hr 43 min
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0914285714285714,2.7285714285714286,1 hr 5 min,2 hr 44 min
9,Female,0.0,TV,False,0.42,No Health Impact,Urban,Child,Other,Low,weekday,Mostly Recreational,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.2661073825503357,2.5838926174496644,1 hr 16 min,2 hr 35 min
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,Pre-Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.0048872180451127,3.045112781954887,1 hr 0 min,3 hr 3 min
9,Female,1.63,Tablet,False,0.58,No Health Impact,Urban,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.5983544303797468,1.0316455696202531,0 hr 36 min,1 hr 2 min
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,Pre-Teen,Other,Very High,weekend,Mostly Recreational,Moderate Risk,1.6822556390977443,5.097744360902256,1 hr 41 min,5 hr 6 min
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,Child,Portable,Moderate,weekday,Balanced,High Risk,1.1185714285714285,2.071428571428571,1 hr 7 min,2 hr 4 min
17,Male,4.96,Smartphone,True,0.32,No Health Impact,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2024242424242424,3.757575757575758,1 hr 12 min,3 hr 45 min
13,Female,1.85,Smartphone,False,0.49,No Health Impact,Urban,Pre-Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.6083892617449664,1.2416107382550337,0 hr 37 min,1 hr 14 min
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,Teen,Portable,High,weekday,Balanced,Moderate Risk,1.4066666666666665,2.8133333333333335,1 hr 24 min,2 hr 49 min
8,Male,0.31,Smartphone,False,0.51,No Health Impact,Urban,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.10470198675496688,0.2052980132450331,0 hr 6 min,0 hr 12 min
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,Senior Teen,Other,High,weekend,Mostly Recreational,High Risk,1.5425874125874124,3.5874125874125875,1 hr 33 min,3 hr 35 min
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4432432432432434,3.006756756756757,1 hr 27 min,3 hr 0 min
17,Female,3.02,Smartphone,True,0.39,No Health Impact,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.8473381294964027,2.1726618705035974,0 hr 51 min,2 hr 10 min
10,Male,2.16,Tablet,True,0.41,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6280851063829788,1.5319148936170213,0 hr 38 min,1 hr 32 min
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.0859701492537315,3.1940298507462686,1 hr 5 min,3 hr 12 min
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.5257142857142858,3.814285714285714,1 hr 32 min,3 hr 49 min
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.0000000000000002,2.5,1 hr 0 min,2 hr 30 min
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,Pre-Teen,Other,Very High,weekend,Mostly Recreational,Moderate Risk,3.7344217687074828,7.945578231292517,3 hr 44 min,7 hr 57 min
12,Female,1.63,Smartphone,False,0.5,No Health Impact,Urban,Pre-Teen,Portable,Low,weekday,Balanced,Moderate Risk,0.5433333333333333,1.0866666666666664,0 hr 33 min,1 hr 5 min
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4803401360544217,3.149659863945578,1 hr 29 min,3 hr 9 min
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.1592753623188408,3.050724637681159,1 hr 10 min,3 hr 3 min
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,Pre-Teen,Portable,High,weekend,Balanced,High Risk,1.5199999999999998,3.04,1 hr 31 min,3 hr 2 min
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,1.0725,2.4375,1 hr 4 min,2 hr 26 min
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.2159259259259259,3.4740740740740748,1 hr 13 min,3 hr 28 min
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,Child,Other,Very High,weekend,Balanced,Moderate Risk,2.5366666666666666,5.073333333333334,2 hr 32 min,5 hr 4 min
11,Male,2.75,Smartphone,False,0.35,No Health Impact,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7129629629629628,2.037037037037037,0 hr 43 min,2 hr 2 min
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,Teen,Other,Very High,weekend,Mostly Recreational,High Risk,1.9935211267605635,4.746478873239437,1 hr 60 min,4 hr 45 min
9,Female,0.0,Smartphone,False,0.47,No Health Impact,Urban,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
17,Male,2.34,Smartphone,False,0.48,No Health Impact,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7589189189189189,1.581081081081081,0 hr 46 min,1 hr 35 min
16,Male,2.85,Smartphone,False,0.3,No Health Impact,Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6576923076923077,2.1923076923076925,0 hr 39 min,2 hr 12 min
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,Senior Teen,Portable,High,weekday,Mostly Recreational,High Risk,1.2036690647482013,3.086330935251799,1 hr 12 min,3 hr 5 min
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,Pre-Teen,Other,Very High,weekend,Mostly Recreational,High Risk,1.6918705035971222,4.338129496402878,1 hr 42 min,4 hr 20 min
9,Female,1.06,Smartphone,False,0.42,No Health Impact,Urban,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.3135211267605634,0.7464788732394367,0 hr 19 min,0 hr 45 min
11,Male,2.83,Smartphone,False,0.4,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.8085714285714287,2.0214285714285714,0 hr 49 min,2 hr 1 min
14,Male,3.92,Smartphone,True,0.47,No Health Impact,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.2533333333333332,2.666666666666667,1 hr 15 min,2 hr 40 min
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.2766187050359712,3.273381294964029,1 hr 17 min,3 hr 16 min
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,Pre-Teen,Portable,Very High,weekend,Balanced,Moderate Risk,2.462564102564103,4.397435897435898,2 hr 28 min,4 hr 24 min
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,Child,Other,Moderate,weekday,Mostly Recreational,High Risk,1.0090070921985816,2.4609929078014185,1 hr 1 min,2 hr 28 min
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4524657534246577,3.1575342465753424,1 hr 27 min,3 hr 9 min
9,Male,0.0,Smartphone,False,0.59,No Health Impact,Rural,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
15,Male,3.47,Smartphone,True,0.41,No Health Impact,Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0090070921985816,2.4609929078014185,1 hr 1 min,2 hr 28 min
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,Pre-Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.274788732394366,3.0352112676056335,1 hr 16 min,3 hr 2 min
9,Male,2.3,Smartphone,True,0.45,No Health Impact,Urban,Child,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7137931034482758,1.586206896551724,0 hr 43 min,1 hr 35 min
13,Male,4.5,Laptop,True,0.38,No Health Impact,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2391304347826089,3.260869565217391,1 hr 14 min,3 hr 16 min
13,Female,2.65,Laptop,False,0.38,No Health Impact,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7297101449275362,1.9202898550724639,0 hr 44 min,1 hr 55 min
17,Male,5.34,Laptop,True,0.43,No Health Impact,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.6057342657342657,3.734265734265734,1 hr 36 min,3 hr 44 min
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,Pre-Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,1.1637062937062936,2.7062937062937067,1 hr 10 min,2 hr 42 min
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.6487234042553192,4.0212765957446805,1 hr 39 min,4 hr 1 min
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,Child,Other,Moderate,weekday,Balanced,High Risk,1.3163398692810455,2.4836601307189543,1 hr 19 min,2 hr 29 min
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,Senior Teen,Other,High,weekend,Mostly Recreational,High Risk,1.1697014925373135,3.440298507462687,1 hr 10 min,3 hr 26 min
9,Male,0.9,Tablet,False,0.6,No Health Impact,Rural,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.3375,0.5625,0 hr 20 min,0 hr 34 min
17,Female,3.3,TV,True,0.42,No Health Impact,Urban,Senior Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.976056338028169,2.323943661971831,0 hr 59 min,2 hr 19 min
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,Pre-Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.2116030534351143,3.908396946564886,1 hr 13 min,3 hr 55 min
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.8875675675675676,3.9324324324324325,1 hr 53 min,3 hr 56 min
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,Teen,Portable,High,weekday,Mostly Recreational,High Risk,1.3652380952380951,2.904761904761904,1 hr 22 min,2 hr 54 min
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.501111111111111,4.288888888888889,1 hr 30 min,4 hr 17 min
15,Female,2.69,TV,False,0.32,No Health Impact,Urban,Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6521212121212121,2.037878787878788,0 hr 39 min,2 hr 2 min
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.1122222222222224,2.5277777777777777,1 hr 7 min,2 hr 32 min
9,Male,4.23,TV,True,0.46,No Health Impact,Urban,Child,Other,High,weekday,Mostly Recreational,Moderate Risk,1.3327397260273974,2.897260273972603,1 hr 20 min,2 hr 54 min
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.7882978723404257,4.361702127659575,1 hr 47 min,4 hr 22 min
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4192481203007519,4.300751879699248,1 hr 25 min,4 hr 18 min
17,Male,3.41,Laptop,True,0.31,No Health Impact,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.8069465648854961,2.603053435114504,0 hr 48 min,2 hr 36 min
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4432432432432434,3.006756756756757,1 hr 27 min,3 hr 0 min
16,Male,2.9,Smartphone,False,0.31,No Health Impact,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6862595419847328,2.213740458015267,0 hr 41 min,2 hr 13 min
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,Child,Portable,Very High,weekend,Mostly Recreational,High Risk,2.3756164383561647,5.164383561643835,2 hr 23 min,5 hr 10 min
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,Teen,Portable,High,weekday,Mostly Recreational,High Risk,1.4075675675675674,2.9324324324324325,1 hr 24 min,2 hr 56 min
14,Female,5.43,Smartphone,True,0.49,No Health Impact,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.7857046979865772,3.6442953020134228,1 hr 47 min,3 hr 39 min
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.186015037593985,3.593984962406015,1 hr 11 min,3 hr 36 min
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.1805405405405407,2.4594594594594597,1 hr 11 min,2 hr 28 min
8,Female,1.67,Smartphone,False,0.45,No Health Impact,Rural,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.5182758620689655,1.1517241379310343,0 hr 31 min,1 hr 9 min
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4670422535211267,3.492957746478873,1 hr 28 min,3 hr 30 min
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.8058333333333334,4.104166666666667,1 hr 48 min,4 hr 6 min
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.7676258992805753,4.532374100719425,1 hr 46 min,4 hr 32 min
10,Female,0.0,Tablet,False,0.4,No Health Impact,Urban,Pre-Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
8,Male,3.39,TV,True,0.43,No Health Impact,Rural,Child,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0193706293706295,2.370629370629371,1 hr 1 min,2 hr 22 min
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,0.8654545454545455,2.704545454545454,0 hr 52 min,2 hr 42 min
10,Female,1.36,Smartphone,False,0.57,No Health Impact,Urban,Pre-Teen,Portable,Low,weekday,Balanced,Moderate Risk,0.49375796178343956,0.8662420382165605,0 hr 30 min,0 hr 52 min
10,Male,0.0,Smartphone,False,0.45,No Health Impact,Rural,Pre-Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
8,Male,2.75,TV,True,0.53,No Health Impact,Rural,Child,Other,Moderate,weekday,Balanced,Moderate Risk,0.9526143790849673,1.7973856209150327,0 hr 57 min,1 hr 48 min
18,Female,6.4,Smartphone,True,0.32,No Health Impact,Urban,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.5515151515151515,4.848484848484849,1 hr 33 min,4 hr 51 min
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.2227027027027026,2.5472972972972974,1 hr 13 min,2 hr 33 min
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5123129251700682,3.217687074829932,1 hr 31 min,3 hr 13 min
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.6457142857142857,4.114285714285714,1 hr 39 min,4 hr 7 min
17,Female,2.78,Smartphone,False,0.34,No Health Impact,Urban,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7053731343283582,2.0746268656716413,0 hr 42 min,2 hr 4 min
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.102661870503597,2.827338129496403,1 hr 6 min,2 hr 50 min
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.090916030534351,3.5190839694656493,1 hr 5 min,3 hr 31 min
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.8646308724832212,3.8053691275167787,1 hr 52 min,3 hr 48 min
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2885714285714287,3.221428571428571,1 hr 17 min,3 hr 13 min
9,Female,0.45,Smartphone,False,0.46,No Health Impact,Rural,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.14178082191780825,0.3082191780821918,0 hr 9 min,0 hr 18 min
8,Male,2.52,Smartphone,True,0.58,No Health Impact,Urban,Child,Portable,Moderate,weekday,Balanced,Moderate Risk,0.9250632911392405,1.5949367088607596,0 hr 56 min,1 hr 36 min
14,Male,6.04,Smartphone,True,0.39,No Health Impact,Urban,Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.6946762589928055,4.345323741007195,1 hr 42 min,4 hr 21 min
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.9503401360544215,4.149659863945578,1 hr 57 min,4 hr 9 min
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5740287769784174,4.035971223021583,1 hr 34 min,4 hr 2 min
12,Male,2.34,Smartphone,False,0.37,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6319708029197079,1.7080291970802919,0 hr 38 min,1 hr 42 min
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,Pre-Teen,Other,Very High,weekend,Balanced,Moderate Risk,2.462564102564103,4.397435897435898,2 hr 28 min,4 hr 24 min
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.894503816793893,2.885496183206107,0 hr 54 min,2 hr 53 min
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4269444444444446,3.2430555555555554,1 hr 26 min,3 hr 15 min
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.0086206896551726,2.2413793103448274,1 hr 1 min,2 hr 14 min
10,Male,4.98,Smartphone,True,0.46,No Health Impact,Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5690410958904113,3.410958904109589,1 hr 34 min,3 hr 25 min
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,Child,Portable,High,weekend,Mostly Recreational,High Risk,1.6199999999999999,3.5999999999999996,1 hr 37 min,3 hr 36 min
10,Female,5.02,TV,True,0.6,No Health Impact,Urban,Pre-Teen,Other,High,weekend,Balanced,Moderate Risk,1.8824999999999996,3.1375,1 hr 53 min,3 hr 8 min
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.8222377622377623,4.2377622377622375,1 hr 49 min,4 hr 14 min
10,Female,1.86,Smartphone,False,0.46,No Health Impact,Rural,Pre-Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.586027397260274,1.2739726027397262,0 hr 35 min,1 hr 16 min
8,Female,6.48,Smartphone,True,0.48,No Health Impact,Rural,Child,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.101621621621622,4.378378378378379,2 hr 6 min,4 hr 23 min
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3768493150684933,2.993150684931507,1 hr 23 min,2 hr 60 min
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,Senior Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,0.9844274809160306,3.1755725190839694,0 hr 59 min,3 hr 11 min
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0970503597122303,2.81294964028777,1 hr 6 min,2 hr 49 min
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3201418439716313,3.219858156028369,1 hr 19 min,3 hr 13 min
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.1899999999999997,3.4000000000000004,1 hr 11 min,3 hr 24 min
16,Female,2.42,Smartphone,False,0.45,No Health Impact,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7510344827586207,1.668965517241379,0 hr 45 min,1 hr 40 min
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.2296644295302013,4.550335570469799,2 hr 14 min,4 hr 33 min
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,Senior Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.358918918918919,2.8310810810810816,1 hr 22 min,2 hr 50 min
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,1.0605405405405404,2.2094594594594597,1 hr 4 min,2 hr 13 min
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,Teen,Portable,Very High,weekend,Mostly Recreational,High Risk,1.5249253731343284,4.485074626865671,1 hr 31 min,4 hr 29 min
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,Child,Portable,High,weekend,Balanced,High Risk,1.58,3.16,1 hr 35 min,3 hr 10 min
